Sample,Time,Decoder,Ann Row,Ann Class,Value,
278268,2.783 ms,SPI,MOSI data,MOSI data,E0,
278524,2.785 ms,SPI,MOSI data,MOSI data,FF,
278780,2.788 ms,SPI,MOSI data,MOSI data,E0,
279036,2.790 ms,SPI,MOSI data,MOSI data,FF,
279292,2.793 ms,SPI,MOSI data,MOSI data,E0,
279548,2.795 ms,SPI,MOSI data,MOSI data,FF,
279804,2.798 ms,SPI,MOSI data,MOSI data,E0,
280060,2.801 ms,SPI,MOSI data,MOSI data,FF,
280316,2.803 ms,SPI,MOSI data,MOSI data,E0,
280572,2.806 ms,SPI,MOSI data,MOSI data,FF,
280828,2.808 ms,SPI,MOSI data,MOSI data,E0,
281084,2.811 ms,SPI,MOSI data,MOSI data,FF,
281340,2.813 ms,SPI,MOSI data,MOSI data,E0,
281596,2.816 ms,SPI,MOSI data,MOSI data,FF,
281852,2.819 ms,SPI,MOSI data,MOSI data,E0,
282108,2.821 ms,SPI,MOSI data,MOSI data,FF,
282364,2.824 ms,SPI,MOSI data,MOSI data,E0,
282620,2.826 ms,SPI,MOSI data,MOSI data,FF,
282876,2.829 ms,SPI,MOSI data,MOSI data,E0,
283132,2.831 ms,SPI,MOSI data,MOSI data,FF,
283388,2.834 ms,SPI,MOSI data,MOSI data,E0,
283644,2.836 ms,SPI,MOSI data,MOSI data,FF,
283900,2.839 ms,SPI,MOSI data,MOSI data,E0,
284156,2.842 ms,SPI,MOSI data,MOSI data,FF,
284412,2.844 ms,SPI,MOSI data,MOSI data,E0,
284668,2.847 ms,SPI,MOSI data,MOSI data,FF,
284924,2.849 ms,SPI,MOSI data,MOSI data,E0,
285180,2.852 ms,SPI,MOSI data,MOSI data,FF,
285436,2.854 ms,SPI,MOSI data,MOSI data,E0,
285692,2.857 ms,SPI,MOSI data,MOSI data,FF,
285948,2.859 ms,SPI,MOSI data,MOSI data,E0,
286204,2.862 ms,SPI,MOSI data,MOSI data,FF,
286460,2.865 ms,SPI,MOSI data,MOSI data,E0,
286954,2.870 ms,SPI,MOSI data,MOSI data,2A,
287370,2.874 ms,SPI,MOSI data,MOSI data,00,
287754,2.878 ms,SPI,MOSI data,MOSI data,5A,
288170,2.882 ms,SPI,MOSI data,MOSI data,00,
288554,2.886 ms,SPI,MOSI data,MOSI data,61,
288970,2.890 ms,SPI,MOSI data,MOSI data,2B,
289386,2.894 ms,SPI,MOSI data,MOSI data,00,
289770,2.898 ms,SPI,MOSI data,MOSI data,5A,
290186,2.902 ms,SPI,MOSI data,MOSI data,00,
290570,2.906 ms,SPI,MOSI data,MOSI data,61,
290986,2.910 ms,SPI,MOSI data,MOSI data,2C,
291509,2.915 ms,SPI,MOSI data,MOSI data,F8,
291765,2.918 ms,SPI,MOSI data,MOSI data,00,
292021,2.920 ms,SPI,MOSI data,MOSI data,F8,
292277,2.923 ms,SPI,MOSI data,MOSI data,00,
292533,2.925 ms,SPI,MOSI data,MOSI data,F8,
292789,2.928 ms,SPI,MOSI data,MOSI data,00,
293045,2.930 ms,SPI,MOSI data,MOSI data,F8,
293301,2.933 ms,SPI,MOSI data,MOSI data,00,
293557,2.936 ms,SPI,MOSI data,MOSI data,F8,
293813,2.938 ms,SPI,MOSI data,MOSI data,00,
294069,2.941 ms,SPI,MOSI data,MOSI data,F8,
294325,2.943 ms,SPI,MOSI data,MOSI data,00,
294581,2.946 ms,SPI,MOSI data,MOSI data,F8,
294837,2.948 ms,SPI,MOSI data,MOSI data,00,
295093,2.951 ms,SPI,MOSI data,MOSI data,F8,
295349,2.953 ms,SPI,MOSI data,MOSI data,00,
295605,2.956 ms,SPI,MOSI data,MOSI data,F8,
295861,2.959 ms,SPI,MOSI data,MOSI data,00,
296117,2.961 ms,SPI,MOSI data,MOSI data,F8,
296373,2.964 ms,SPI,MOSI data,MOSI data,00,
296629,2.966 ms,SPI,MOSI data,MOSI data,F8,
296885,2.969 ms,SPI,MOSI data,MOSI data,00,
297141,2.971 ms,SPI,MOSI data,MOSI data,F8,
297397,2.974 ms,SPI,MOSI data,MOSI data,00,
297653,2.977 ms,SPI,MOSI data,MOSI data,F8,
297909,2.979 ms,SPI,MOSI data,MOSI data,00,
298165,2.982 ms,SPI,MOSI data,MOSI data,F8,
298421,2.984 ms,SPI,MOSI data,MOSI data,00,
298677,2.987 ms,SPI,MOSI data,MOSI data,F8,
